,value,definition,codesystem,code,iri
10569,Maternal fever in pregnancy,The occurence of an elevated body temperature of the mother during pregnancy.,HP,HP:0030244,http://purl.obolibrary.org/obo/HP_0030244
10570,Intrapartum fever,The occurence of maternal fever during labor.,HP,HP:0030245,http://purl.obolibrary.org/obo/HP_0030245
10571,Maternal first trimester fever,The occurence of fever in a mother during the first trimester of pregnancy.,HP,HP:0030246,http://purl.obolibrary.org/obo/HP_0030246
10572,Splanchnic vein thrombosis,"The term splanchnic vein thrombosis encompasses Budd-Chiari syndrome (hepatic vein thrombosis), extrahepatic portal vein obstruction (EHPVO), and mesenteric vein thrombosis; the word splanchnic is used to refer to the visceral organs (of the abdominal cavity).",HP,HP:0030247,http://purl.obolibrary.org/obo/HP_0030247
10573,Mesenteric venous thrombosis,A clot that obstructs blood flow in a mesenteric vein (the superior and the inferior mesenteric vein drain blood from the small and large intestine).,HP,HP:0030248,http://purl.obolibrary.org/obo/HP_0030248
10574,Enanthema,A sudden eruption (rash) of the surface of a mucous membrane of the mouth or pharynx.,HP,HP:0030249,http://purl.obolibrary.org/obo/HP_0030249
10575,Pulmonary granulomatosis,The presence of multiple granulomata (small nodular inflammatory lesions containing grouped mononuclear phagocytes) in the lung.,HP,HP:0030250,http://purl.obolibrary.org/obo/HP_0030250
10576,Absence of memory B cells,"Complete lack of memory B cells, that is, of mature B cell type that is long-lived, readily activated upon re-encounter of its antigenic determinant, and has been selected for expression of higher affinity immunoglobulin.",HP,HP:0030251,http://purl.obolibrary.org/obo/HP_0030251
10577,Absent circulating B cells,"Complete lack of mature B cells, that is, of B cells that have left the bone marrow.",HP,HP:0030252,http://purl.obolibrary.org/obo/HP_0030252
10578,Defective T cell proliferation,A reduced ability of a T cell population to expand by cell division following T cell activation.,HP,HP:0030253,http://purl.obolibrary.org/obo/HP_0030253
10579,Nail bed hemorrhage,Small areas of bleeding (hemorrhage) under the fingernail or toenail.,HP,HP:0030254,http://purl.obolibrary.org/obo/HP_0030254
10580,Large intestinal polyposis,The presence of multiple polyps in the large intestine.,HP,HP:0030255,http://purl.obolibrary.org/obo/HP_0030255
10581,Small intestinal polyposis,The presence of multiple polyps in the small intestine.,HP,HP:0030256,http://purl.obolibrary.org/obo/HP_0030256
10582,Freckled genitalia,One or more brown punctate macules on the skin of the genitalia.,HP,HP:0030257,http://purl.obolibrary.org/obo/HP_0030257
10583,Hyperpigmented genitalia,Localized or generalized increased genital pigmentation.,HP,HP:0030258,http://purl.obolibrary.org/obo/HP_0030258
10584,Hypopigmented genitalia,Localized or generalized decreased genital pigmentation.,HP,HP:0030259,http://purl.obolibrary.org/obo/HP_0030259
10585,Microphallus,Length of penis more than 2 SD below the mean for age accompanied by hypospadias.,HP,HP:0030260,http://purl.obolibrary.org/obo/HP_0030260
10586,Absent penis,Lack of recognizable penile structures.,HP,HP:0030261,http://purl.obolibrary.org/obo/HP_0030261
10587,Narrow penis,"Penile width more than 2 standard deviations (SD) below the mean for age. Alternatively circumference of the flaccid penis more than 2 SD below the mean for age. Alternatively, apparently decreased penile width for age.",HP,HP:0030262,http://purl.obolibrary.org/obo/HP_0030262
10588,Torsion of the penis,"Rotated position of the glans, with or without the penile shaft, of 30 degrees or more.",HP,HP:0030263,http://purl.obolibrary.org/obo/HP_0030263
10589,Webbed penis,Ventral skinfold extending from penis to scrotum.,HP,HP:0030264,http://purl.obolibrary.org/obo/HP_0030264
10590,Wide penis,Distance between left and right side of the flaccid penis at the attachment to the skin above the pubic symphysis more than 2 standard deviations above the mean for age.,HP,HP:0030265,http://purl.obolibrary.org/obo/HP_0030265
10591,obsolete Abnormality of the sacroiliac notch,,HP,HP:0030266,http://purl.obolibrary.org/obo/HP_0030266
10592,Calcification of the interosseus membrane of the forearm,Deposition of calcium salts in the fibrous sheet that connects the radius and the ulna.,HP,HP:0030267,http://purl.obolibrary.org/obo/HP_0030267
10593,Hyperplastic callus formation,"Increased growth of callus, the bony and cartilaginous material that forms a connecting bridge across a bone fracture during fracture healing.",HP,HP:0030268,http://purl.obolibrary.org/obo/HP_0030268
10594,Increased serum insulin-like growth factor 1,An elevated level of insulin-like growth factor 1 (IGF1) in the blood circulation.,HP,HP:0030269,http://purl.obolibrary.org/obo/HP_0030269
10595,Elevated red cell adenosine deaminase level,"Increase in the level of adenosine deaminase (ADA), an enzyme involved in purine metabolism, within erythrocytes. ADA is involved in the catabolism of adenosine.",HP,HP:0030270,http://purl.obolibrary.org/obo/HP_0030270
10596,"Reduced erythrocyte 2,3-diphosphoglycerate concentration","This term refers to an inappropriate low 2,3-DPG concentration in erythrocytes. 2,3-diphosphoglycerate (2,3-DPG) controls the movement of oxygen from red blood cells to tissues. Anemia is usually accompanied by an increased level of 2,3-DPG in order to promote tissue oxygenation.",HP,HP:0030271,http://purl.obolibrary.org/obo/HP_0030271
10597,Abnormal erythrocyte enzyme level,An altered level of any enzyme to act as catalysts within erythrocytes. This term includes changes due to altered activity of an enzyme.,HP,HP:0030272,http://purl.obolibrary.org/obo/HP_0030272
10598,Reduced red cell adenosine deaminase level,"Decrease in the level of adenosine deaminase (ADA), an enzyme involved in purine metabolism, within erythrocytes. ADA is involved in the catabolism of adenosine.",HP,HP:0030273,http://purl.obolibrary.org/obo/HP_0030273
10599,Accessory scrotum,"Additional scrotum, or part of a scrotum in an abnormal location.",HP,HP:0030274,http://purl.obolibrary.org/obo/HP_0030274
10600,Ectopic scrotum,Scrotum in a position other than the usual position inferior to the base of the penis.,HP,HP:0030275,http://purl.obolibrary.org/obo/HP_0030275
10601,Small scrotum,Apparently small scrotum for age.,HP,HP:0030276,http://purl.obolibrary.org/obo/HP_0030276
10602,Abnormal vertebral pedicle morphology,Abnormal morphology of a vertebral pedical.,HP,HP:0030277,http://purl.obolibrary.org/obo/HP_0030277
10603,Hypoplastic vertebral pedicle,Underdeveloped vertebral pedicle.,HP,HP:0030278,http://purl.obolibrary.org/obo/HP_0030278
10604,Hypoplastic L5 vertebral pedicle,Underdeveloped pedicle of the fifth lumbar vertebra.,HP,HP:0030279,http://purl.obolibrary.org/obo/HP_0030279
10605,Rib gap,Radiolucent focal defect of a rib shaft.,HP,HP:0030280,http://purl.obolibrary.org/obo/HP_0030280
10606,Cervical C3/C4 vertebral fusion,"Fusion of cervical vertebrae at C3 and C4, caused by a failure in the normal segmentation or division of the cervical vertebrae during the early weeks of fetal development.",HP,HP:0030281,http://purl.obolibrary.org/obo/HP_0030281
10607,Posterior rib gap,Radiolucent focal defect of the posterior portion of a rib shaft. The 'gaps' may lead to flail chest.,HP,HP:0030282,http://purl.obolibrary.org/obo/HP_0030282
10608,Partial absence of the septum pellucidum,"Only part of the septum pellucidum (a thin, triangular, vertical membrane separating the lateral ventricles of the brain) is present. This feature can be appreciated on magnetic resonance tomography or computed tomography of the brain.",HP,HP:0030283,http://purl.obolibrary.org/obo/HP_0030283
10609,Triangular tongue,"A form of macrogloassia (increased size of the tongue) characterized by a broad based root of the tongue but a small tongue tip, giving the appearance of a triangle.",HP,HP:0030284,http://purl.obolibrary.org/obo/HP_0030284
10610,Splayed superior cerebellar peduncle,Abnormal splayed configuration (spreading out) of the superior cerebellar peduncle.,HP,HP:0030285,http://purl.obolibrary.org/obo/HP_0030285
10611,Atrophic superior cerebellar peduncle,Atrophy of the superior cerebellar peduncle.,HP,HP:0030286,http://purl.obolibrary.org/obo/HP_0030286
10612,Flattened femoral epiphysis,An abnormal flattening of an epiphysis of femur.,HP,HP:0030289,http://purl.obolibrary.org/obo/HP_0030289
10613,Unossified sacrum,Lack of ossification of the sacrum.,HP,HP:0030290,http://purl.obolibrary.org/obo/HP_0030290
10614,Lower-limb metaphyseal irregularity,Irregularity of the normally smooth surface of one or more metaphyses of a bone of the leg.,HP,HP:0030291,http://purl.obolibrary.org/obo/HP_0030291
10615,Tibial metaphyseal irregularity,Irregularity of the normally smooth surface of a metaphysis of a tibia.,HP,HP:0030292,http://purl.obolibrary.org/obo/HP_0030292
10616,Fibular metaphyseal irregularity,Irregularity of the normally smooth surface of a metaphysis of a fibula.,HP,HP:0030293,http://purl.obolibrary.org/obo/HP_0030293
10617,Metaphyseal chondromatosis of tibia,,HP,HP:0030294,http://purl.obolibrary.org/obo/HP_0030294
10618,Metaphyseal chondromatosis of femur,,HP,HP:0030295,http://purl.obolibrary.org/obo/HP_0030295
10619,Metaphyseal chondromatosis of radius,,HP,HP:0030296,http://purl.obolibrary.org/obo/HP_0030296
10620,Metaphyseal chondromatosis of ulna,,HP,HP:0030297,http://purl.obolibrary.org/obo/HP_0030297
10621,Metaphyseal chondromatosis of humerus,,HP,HP:0030298,http://purl.obolibrary.org/obo/HP_0030298
10622,Distal femoral metaphyseal abnormality,An anomaly of the metaphysis of the distal femur (close to the knee).,HP,HP:0030299,http://purl.obolibrary.org/obo/HP_0030299
10623,10 pairs of ribs,Presence of only 10 (instead of the usual 12) pairs of ribs.,HP,HP:0030300,http://purl.obolibrary.org/obo/HP_0030300
10624,Abnormality of the anterior commissure,"An anomaly of the anterior commissure, a bundle of nerve fibers that connect the two cerebral hemispheres across the midline. The anterior commissure plays a role in pain sensation and contains decussating fibers from the olfactory tracts.",HP,HP:0030301,http://purl.obolibrary.org/obo/HP_0030301
10625,Agenesis of the anterior commissure,Absence of the anterior commissure.,HP,HP:0030302,http://purl.obolibrary.org/obo/HP_0030302
10626,Hypoplastic anterior commissure,Underdevelopment of the anterior commissure.,HP,HP:0030303,http://purl.obolibrary.org/obo/HP_0030303
10627,Abnormal number of vertebrae,A deviation from the normal number of vertebrae in the spinal column.,HP,HP:0030304,http://purl.obolibrary.org/obo/HP_0030304
10628,Decreased number of vertebrae,,HP,HP:0030305,http://purl.obolibrary.org/obo/HP_0030305
10629,11 thoracic vertebrae,The presence of 11 instead of the normal 12 thoracic vertebrae.,HP,HP:0030306,http://purl.obolibrary.org/obo/HP_0030306
10630,Flared lower limb metaphysis,"The presence of a splayed (i.e.,flared) metaphyseal segment of one or more long bones of the leg.",HP,HP:0030307,http://purl.obolibrary.org/obo/HP_0030307
10631,Flared distal tibial metaphysis,"The presence of a splayed (i.e.,flared) metaphyseal segment of the distal tibia.",HP,HP:0030308,http://purl.obolibrary.org/obo/HP_0030308
10632,Flared distal fibular metaphysis,"The presence of a splayed (i.e.,flared) metaphyseal segment of the distal fibula.",HP,HP:0030309,http://purl.obolibrary.org/obo/HP_0030309
10633,Upper extremity joint dislocation,Displacement or malalignment of one or more joints in the upper extremity (arm).,HP,HP:0030310,http://purl.obolibrary.org/obo/HP_0030310
10634,Lower extremity joint dislocation,Displacement or malalignment of one or more joints in the lower extremity (leg).,HP,HP:0030311,http://purl.obolibrary.org/obo/HP_0030311
10635,Obliteration of the calvarial diploe,"Absence of the spongy bone structure (or tissue) of the internal part of the skull cap (i.e., of the calvarial diploe).",HP,HP:0030312,http://purl.obolibrary.org/obo/HP_0030312
10636,Abnormal periosteum morphology,"An anomalous structure of the periosteum, i.e., of the membrane that covers the outer surface of bones.",HP,HP:0030313,http://purl.obolibrary.org/obo/HP_0030313
10637,Periostosis,Abnormal deposition of periosteal bone.,HP,HP:0030314,http://purl.obolibrary.org/obo/HP_0030314
10638,Angular cheilitis,A type of inflammation of the lips involving one or both of the corners of the mouth.,HP,HP:0030318,http://purl.obolibrary.org/obo/HP_0030318
10639,Weakness of facial musculature,Reduced strength of one or more muscles innervated by the facial nerve (the seventh cranial nerve).,HP,HP:0030319,http://purl.obolibrary.org/obo/HP_0030319
10640,Increased intervertebral space,"An increase in the vertical distance between adjacent vertebral bodies, observed as an increase in the intervertebral disc space.",HP,HP:0030320,http://purl.obolibrary.org/obo/HP_0030320
10641,Abnormal vertebral artery morphology,"An anomaly of the vertebral artery, the major artery of the neck that originates from the subclavian artery and merges to form the single midline basilar artery in a complex called the vertebrobasilar system.",HP,HP:0030321,http://purl.obolibrary.org/obo/HP_0030321
10642,Vertebral artery hypoplasia,Underdevelopment of the vertebral artery.,HP,HP:0030322,http://purl.obolibrary.org/obo/HP_0030322
10643,Unilateral vertebral artery hypoplasia,Underdevelopment of the vertebral artery on one side.,HP,HP:0030323,http://purl.obolibrary.org/obo/HP_0030323
10644,Bilateral vertebral artery hypoplasia,Underdevelopment of the vertebral artery on both sides.,HP,HP:0030324,http://purl.obolibrary.org/obo/HP_0030324
10645,Cervicomedullary schisis,Fissure within the spinal cord of the neck.,HP,HP:0030325,http://purl.obolibrary.org/obo/HP_0030325
10646,Abnormal macrophage count,An anomaly in the number of macrophages.,HP,HP:0030326,http://purl.obolibrary.org/obo/HP_0030326
10647,Abnormal osteoclast count,"An anomaly in the number of osteoclasts, bone-resorbing cells that develop from macrophages.",HP,HP:0030327,http://purl.obolibrary.org/obo/HP_0030327
10648,Decreased osteoclast count,Decreased number of osteoclasts.,HP,HP:0030328,http://purl.obolibrary.org/obo/HP_0030328
10649,Retinal thinning,Reduced anteroposterior thickness of the retina. This phenotype can be appreciated by retinal optical coherence tomography (OCT).,HP,HP:0030329,http://purl.obolibrary.org/obo/HP_0030329
10650,Multinucleated giant chondrocytes in epiphyseal cartilage,The presence of cartilage cells (chondrocytes) that are substantially increased in size and contain more than one nucleus and are located within the resting zone of the epiphyseal cartilage.,HP,HP:0030330,http://purl.obolibrary.org/obo/HP_0030330
10651,Impaired stimulus-induced skin wrinkling,A reduced ability of the skin of the fingertips to wrinkle when exposed to stimuli such as soaking in water or application of EMLA cream (the fingertip remains smooth).,HP,HP:0030331,http://purl.obolibrary.org/obo/HP_0030331
10652,obsolete Abnormal T cell morphology,,HP,HP:0030332,http://purl.obolibrary.org/obo/HP_0030332
10653,Abnormal alpha-beta T cell morphology,A structuraly anomaly of T cells that express an alpha-beta T cell receptor.,HP,HP:0030333,http://purl.obolibrary.org/obo/HP_0030333
10654,"Abnormal CD4-positive, CD25-positive, alpha-beta regulatory T cell morphology","A structural anomaly of a CD4-positive, CD25-positive, alpha-beta T cell. These cells are regulatory T cells.",HP,HP:0030334,http://purl.obolibrary.org/obo/HP_0030334
10655,"Abnormal CD4-positive, CD25-positive, alpha-beta regulatory T cell count","A deviation from the normal count of CD4-positive, CD25-positive, alpha-beta regulatory T cells.",HP,HP:0030335,http://purl.obolibrary.org/obo/HP_0030335
10656,"Absence of CD4-positive, CD25-positive regulatory T cells",Lack of CD4+CD25+ T regulatory cells.,HP,HP:0030336,http://purl.obolibrary.org/obo/HP_0030336
10657,"Elevated CD4-positive, CD25-positive regulatory T cell count","An increased number of CD4-positive, CD25-positive regulatory T cells.",HP,HP:0030337,http://purl.obolibrary.org/obo/HP_0030337
10658,Abnormal circulating gonadotropin concentration,"An anomaly of the circulating level of a gonadotropin, that is, of a protein hormone secreted by gonadotrope cells of the anterior pituitary of vertebrates. The primary gonadotropins are luteinizing hormone (LH) and follicle-stimulating hormone (FSH).",HP,HP:0030338,http://purl.obolibrary.org/obo/HP_0030338
10659,Decreased circulating gonadotropin concentration,"A reduction of the circulating level of a gonadotropin, that is, of a protein hormone secreted by gonadotrope cells of the anterior pituitary of vertebrates. The primary gonadotropins are luteinizing hormone (LH) and follicle-stimulating hormone (FSH).",HP,HP:0030339,http://purl.obolibrary.org/obo/HP_0030339
10660,obsolete Increased circulating gonadotropin level,,HP,HP:0030340,http://purl.obolibrary.org/obo/HP_0030340
10661,Decreased circulating follicle stimulating hormone concentration,A reduction of the circulating level of follicle-stimulating hormone (FSH).,HP,HP:0030341,http://purl.obolibrary.org/obo/HP_0030341
10662,Decreased circulating luteinizing hormone level,A reduction in the circulating level of luteinizing hormone (LH).,HP,HP:0030344,http://purl.obolibrary.org/obo/HP_0030344
10663,Abnormal circulating luteinizing hormone concentration,An anomaly of the circulating level of luteinizing hormone (LH).,HP,HP:0030345,http://purl.obolibrary.org/obo/HP_0030345
10664,Abnormal circulating follicle-stimulating hormone concentration,An anomaly of the circulating level of follicle-stimulating hormone (FSH).,HP,HP:0030346,http://purl.obolibrary.org/obo/HP_0030346
10665,Abnormal circulating androgen level,"An anomaly in the blood concentration of an androgen, that is, of a steroid hormone that controls development and maintenance of masculine characteristics. The androgens include testosterone and Dehydroepiandrosterone.",HP,HP:0030347,http://purl.obolibrary.org/obo/HP_0030347
10666,Increased circulating androgen concentration,"An elevation of the blood concentration of an androgen, that is, of a steroid hormone that controls development and maintenance of masculine characteristics. The androgens include testosterone and Dehydroepiandrosterone.",HP,HP:0030348,http://purl.obolibrary.org/obo/HP_0030348
10667,Decreased circulating androgen concentration,"A reduction in the blood concentration of an androgen, that is, of a steroid hormone that controls development and maintenance of masculine characteristics. The androgens include testosterone and Dehydroepiandrosterone.",HP,HP:0030349,http://purl.obolibrary.org/obo/HP_0030349
10668,Erythematous papule,"A circumscribed, solid elevation of skin with no visible fluid that is reddish (erythematous) in color.",HP,HP:0030350,http://purl.obolibrary.org/obo/HP_0030350
10669,Urticarial plaque,"A well-circumscribed, intensely pruritic, raised wheal (edema of the superficial skin) typically 1 to 2 cm in diameter.",HP,HP:0030351,http://purl.obolibrary.org/obo/HP_0030351
10670,Abnormal serum insulin-like growth factor 1 level,An anomalous level of insulin-like growth factor 1 (IGF1) in the blood circulation.,HP,HP:0030352,http://purl.obolibrary.org/obo/HP_0030352
10671,Decreased serum insulin-like growth factor 1,A reduced level of insulin-like growth factor 1 (IGF1) in the blood circulation.,HP,HP:0030353,http://purl.obolibrary.org/obo/HP_0030353
10672,Abnormal serum interferon level,Abnormal levels of interferon in the blood.,HP,HP:0030354,http://purl.obolibrary.org/obo/HP_0030354
10673,Abnormal serum interferon-gamma level,Abnormal levels of interferon gamma measured in the blood circulation.,HP,HP:0030355,http://purl.obolibrary.org/obo/HP_0030355
10674,Increased serum interferon-gamma level,An elevation in the concentration of interferon gamma measured in the blood circulation.,HP,HP:0030356,http://purl.obolibrary.org/obo/HP_0030356
10675,Small cell lung carcinoma,"Small cell lung cancer (SCLC) is a type of highly malignant lung cancer that is composed of small ovoid cells. In the past, SCLC was called oat cell carcinoma because the microscopic appearance of the cells was felt to resemble oats. SLCLC usually originates near the bronchi and in many cases may grow and metastasize quickly.",HP,HP:0030357,http://purl.obolibrary.org/obo/HP_0030357
10676,Non-small cell lung carcinoma,,HP,HP:0030358,http://purl.obolibrary.org/obo/HP_0030358
10677,Squamous cell lung carcinoma,A type of non-small cell lung carcinoma that is derived from stratified squamous epithelial cells.,HP,HP:0030359,http://purl.obolibrary.org/obo/HP_0030359
10678,Large cell lung carcinoma,"A type of non-small cell lung carcinoma that is derived from undifferentiated malignant neoplasms originating from transformed epithelial cells in the lung, and which is differentiate from small-cell lung carcinoma by the larger size of the anaplastic cells, a higher cytoplasmic-to-nuclear size ratio, and a lack of salt-and-pepper appearance of the chromatin.",HP,HP:0030360,http://purl.obolibrary.org/obo/HP_0030360
10679,Abnormal circulating eicosanoid concentration,"Any deviation from the normal concentration in the blood circulation of an icosanoid (also known as eicosanoids). These are signaling molecules derived from oxidation of 20-carbon fatty acids. Most are produced from arachidonic acid, a 20-carbon polyunsaturated fatty acid (5,8,11,14-eicosatetraenoic acid).",HP,HP:0030361,http://purl.obolibrary.org/obo/HP_0030361
10680,Reduced muscle carnitine level,A reduction in the level of carnitine in muscle tissue.,HP,HP:0030362,http://purl.obolibrary.org/obo/HP_0030362
10681,Primary Caesarian section,Delivery by Caesarian section representing the first time the mother has delivered by Caesarian section.,HP,HP:0030363,http://purl.obolibrary.org/obo/HP_0030363
10682,Secondary Caesarian section,"Delivery by Caesarian section representing where the mother has already had a previous Cesarean delivery, and this is a repeat Cesarean birth.",HP,HP:0030364,http://purl.obolibrary.org/obo/HP_0030364
10683,Vaginal birth after Caesarian,Vaginal birth after Caesarian (VBAC) refers to the situation where the mother has had a previous Cesarean delivery but has now delivered vaginally.,HP,HP:0030365,http://purl.obolibrary.org/obo/HP_0030365
10684,Delivery by Odon device,The Odon device is an instrument for assisted vaginal deliveries that is applied on the head of the baby and used to apply traction to assist the birth process.,HP,HP:0030366,http://purl.obolibrary.org/obo/HP_0030366
10685,Finger hyperphalangy,"Hyperphalangy is a digit morphology in which increased numbers of phalanges are arranged linearly within a digit. That is, there is an accessory phalanx that is arranged linearly with the other phalanges.",HP,HP:0030367,http://purl.obolibrary.org/obo/HP_0030367
10686,Hyperphalangy of the 2nd finger,"An accessory phalanx of the index (second) finger that is arranged linearly with the other phalanges. Hyperphalangy of the index finger results from an accessory ossification center at the metacarpophalangeal joint, resulting in radial deviation of the index finger. Note that this term refers only to this type of hyperphalangy.",HP,HP:0030368,http://purl.obolibrary.org/obo/HP_0030368
10687,Induced vaginal delivery,"Vaginal delivery following induction of labor, a procedure used to stimulate uterine contractions during pregnancy before labor begins on its own.",HP,HP:0030369,http://purl.obolibrary.org/obo/HP_0030369
10688,Abnormal proportion of naive B cells,"A deviation in the normal proportion of naive B cells (CD19+/CD27-/IgD+/IgM+) relative to the total number of B cells. Naive B cells represent one of the subtypes of B cells in the peripheral blood, and are B cells that have not been exposed to antigen.",HP,HP:0030370,http://purl.obolibrary.org/obo/HP_0030370
10689,Increased proportion of naive B cells,"An elevation above the normal proportion of naive B cells (CD19+/CD27-/IgD+/IgM+) relative to total number of B cells. Naive B cells represent one of the subtypes of B cells in the peripheral blood, and are B cells that have not been exposed to antigen.",HP,HP:0030371,http://purl.obolibrary.org/obo/HP_0030371
10690,Decreased proportion of naive B cells,"A reduction below normal proportion of naive B cells (CD19+/CD27-/IgD+/IgM+) relative to total number of B cells. Naive B cells represent one of the subtypes of B cells in the peripheral blood, and are B cells that have not been exposed to antigen.",HP,HP:0030372,http://purl.obolibrary.org/obo/HP_0030372
10691,Abnormal proportion of memory B cells,"A deviation of the normal proportion of memory B cells in circulation relative to total number of B cells. Memory B cells develop from naive B cells. Upon antigen rechallenge, memory B cells rapidly expand and differentiate into plasma cells under the cognate control of memory Th cells (Phase IV).",HP,HP:0030373,http://purl.obolibrary.org/obo/HP_0030373
10692,Decreased proportion of memory B cells,"A reduction in the normal proportion of memory B cells (CD19+/CD27+) in circulation relative to the total number of B cells. Memory B cells develop from naive B cells. Upon antigen rechallenge, memory B cells rapidly expand and differentiate into plasma cells under the cognate control of memory Th cells (Phase IV).",HP,HP:0030374,http://purl.obolibrary.org/obo/HP_0030374
10693,Increased proportion of memory B cells,"An elevation in the proportion of memory B cells (CD19+/CD27+) in circulation relative to the total number of B cells. Memory B cells develop from naive B cells. Upon antigen rechallenge, memory B cells rapidly expand and differentiate into plasma cells under the cognate control of memory Th cells (Phase IV).",HP,HP:0030375,http://purl.obolibrary.org/obo/HP_0030375
10694,Abnormal proportion of immature B cells,"A deviation from normal proportion of immature B cells (CD19+/ CD21low) in circulation relative to total number of B cells. Immature B cells (IgM+) are still in final stages of development within the bone marrow. Naive B cells are those which have left the bone marrow, before they bind to the antigen for which they're specific (IgM+/IgD+).",HP,HP:0030376,http://purl.obolibrary.org/obo/HP_0030376
10695,Increased proportion of immature B cells,"An elevation in the proportion above normal of immature B cells (CD19+/ CD21low) in circulation relative to total number of B cells. Immature B cells (IgM+) are still in final stages of development within the bone marrow. Naive B cells are those which have left the bone marrow, before they bind to the antigen for which they're specific (IgM+/IgD+).",HP,HP:0030377,http://purl.obolibrary.org/obo/HP_0030377
10696,Decreased proportion of immature B cells,"A reduction in normal proportion of immature B cells (CD19+/ CD21low)in circulation relative to total number of B cells. Immature B cells (IgM+) are still in final stages of development within the bone marrow. Naive B cells are those which have left the bone marrow, before they bind to the antigen for which they're specific (IgM+/IgD+).",HP,HP:0030378,http://purl.obolibrary.org/obo/HP_0030378
10697,Abnormal proportion of transitional B cells,"A deviation in the normal proportion of transitional B cells (CD19+/CD38high/IgMhigh) in circulation relative to the total number of B cells. B cells originate from precursors in the bone marrow, and the first cells which migrate to the peripheral blood have been classified as transitional B cells.",HP,HP:0030379,http://purl.obolibrary.org/obo/HP_0030379
10698,Decreased proportion of transitional B cells,"A reduction in the normal proportion of transitional B cells (CD19+/CD38high/IgMhigh) in circulation relative to the total number of B cells. B cells originate from precursors in the bone marrow, and the first cells which migrate to the peripheral blood have been classified as transitional B cells.",HP,HP:0030380,http://purl.obolibrary.org/obo/HP_0030380
10699,Increased proportion of transitional B cells,"An elevation in the normal proportion of transitional B cells (CD19+/CD38high/IgMhigh) in circulation relative to the total number of B cells. B cells originate from precursors in the bone marrow, and the first cells which migrate to the peripheral blood have been classified as transitional B cells.",HP,HP:0030381,http://purl.obolibrary.org/obo/HP_0030381
10700,Abnormal proportion of marginal zone B cells,A deviation of the normal proportion of marginal zone B cells (CD19+/CD27+/IgM+/IgD+) in circulation relative to the total number of B cells.,HP,HP:0030383,http://purl.obolibrary.org/obo/HP_0030383
10701,Decreased proportion of marginal zone B cells,A reduction in the normal proportion of marginal zone B cells (CD19+/CD27+/IgM+/IgD+) in circulation relative to the total number of B cells.,HP,HP:0030384,http://purl.obolibrary.org/obo/HP_0030384
10702,Increased proportion of marginal zone B cells,An elevation in the normal proportion of marginal zone B cells (CD19+/CD27+/IgM+/IgD+) in circulation relative to the total number of B cells.,HP,HP:0030385,http://purl.obolibrary.org/obo/HP_0030385
10703,Abnormal proportion of class-switched memory B cells,"A deviation of the normal proportion of class-switched memory B cells (CD19+/CD27+/IgM-/IgD-) in circulation relative to the total number of B cells. Marginal zone B cells undergo limited somatic hypermutation and produce high-affinity IgM and some IgG, whereas class-switched memory B cells synthetize IgG, IgM, and IgA.",HP,HP:0030386,http://purl.obolibrary.org/obo/HP_0030386
10704,Increased proportion of class-switched memory B cells,"An increase in the normal proportion of class-switched memory B cells (CD19+/CD27+/IgM+/IgD+) relative to the total number of B cells. Marginal zone B cells undergo limited somatic hypermutation and produce high-affinity IgM and some IgG, whereas class-switched memory B cells synthetize IgG, IgM, and IgA.",HP,HP:0030387,http://purl.obolibrary.org/obo/HP_0030387
10705,Decreased proportion of class-switched memory B cells,"A reduction in the normal proportion of class-switched memory B cells (CD19+/CD27+/IgM+/IgD+) relative to the total number of B cells. Marginal zone B cells undergo limited somatic hypermutation and produce high-affinity IgM and some IgG, whereas class-switched memory B cells synthetize IgG, IgM, and IgA.",HP,HP:0030388,http://purl.obolibrary.org/obo/HP_0030388
10706,Abnormal circulating thromboxane concentration,"Any deivation from the normal concentration in the blood circulation of a thromboxane. Thromboxanes are derived from prostaglandin precursors in platelets, and stimulate aggregation of platelets and constriction of blood vessels.",HP,HP:0030389,http://purl.obolibrary.org/obo/HP_0030389
10707,Reduced circulating leukotriene C4 concentration,An abnormally decreased concentration of leukotriene C4 in the blood circulation.,HP,HP:0030390,http://purl.obolibrary.org/obo/HP_0030390
10708,Spoken word recognition deficit,"Reduced ability of lexical discrimination, which refers to the process of distinguishing a stimulus word from other phonologically similar words. Lexical discrimination can be defined as the process of correctly identifying words in the mental lexicon to match the phonological input of a stimulus.",HP,HP:0030391,http://purl.obolibrary.org/obo/HP_0030391
10709,Choroid plexus carcinoma,"Intraventricular papillary neoplasm derived from choroid plexus epithelium. Plexus tumors are most common in the lateral and fourth ventricles; while 80% of lateral ventricle tumors present in children, fourth ventricle tumors are evenly distributed in all age groups. Clinically, choroid plexus tumors tend to cause hydrocephalus and increased intracranial pressure. Histologically, choroid plexus papillomas correspond to WHO grade I, choroid plexus carcinomas to WHO grade III.",HP,HP:0030392,http://purl.obolibrary.org/obo/HP_0030392
10710,Endolymphatic sac tumor,"A low-grade papillary epithelial neoplasm (adenocarcinoma) with a slow growth pattern. The endolymphatic duct emerges from the posterior wall of the saccule (of the inner ear) and ends in a blind pouch, the endolymphatic sac. Endolymphatic sac tumors (ELSTs) are known under different names in the literature (Heffner tumor, aggressive papillary middle ear tumor, and low-grade adenocarcinoma of endolymphatic sac origin).",HP,HP:0030393,http://purl.obolibrary.org/obo/HP_0030393
